Tên Sản Phẩm,Giá,Thương Hiệu,Loại,Mã Sản Phẩm,Năm Đăng Ký,Dung Tích,Màu Sắc,Tình Trạng,Smartkey,Thông Tin Sản Phẩm
Lead 29E-150DK,24.000.000₫,Honda,Lead,29E-150DK,2016,125cc,Bạc nâu,Còn hàng,,"Honda Lead, màu bạc nâu, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Dream Thái 29X-173DC,19.500.000₫,Honda,Dream,29X-173DC,1996,100cc,Nâu,Còn hàng,,"Honda Dream Thái, màu nâu, dung tích 100cc. Hàng hiếm đẹp xuất sắc, xe có hình thức đẹp lung linh, máy chất, êm, chạy khoẻ, xăng đi 2,2L/100km. Đây là một trong những dòng xe hot nhất của giới trẻ hiện nay. Xe đa dụng, phù hợp với nhiều thế hệ người tiêu dùng bởi tính mạnh mẽ, bền bỉ và tiết kiệm nhiên liệu."
Wave RS 88F-147CD,9.800.000₫,Honda,Wave RS,88F-147CD,2013,110cc,Đỏ đen bạc,Còn hàng,,"Honda Wave RS, màu đỏ trắng, dung tích 100cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Wave A 37G-174GD,15.300.000₫,Honda,Wave A,37G-174GD,2021,110cc,Đen vàng,Còn hàng,,"Honda Wave A, màu đen bạc, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Lead 30Z-85AD,11.500.000₫,Honda,Lead,30Z-85AD,2009,110cc,Bạc đen,Còn hàng,,"Honda Lead, màu bạc đen, dung tích 110cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Wave RSX FI 29P-022KB,20.200.000₫,Honda,Wave rsx,29P-022KB,2022,110cc,Đỏ đen,Còn hàng,,"Honda Wave RSX FI, màu đỏ đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Wave RSX 37E-388HF,12.000.000₫,Honda,Wave rsx,37E-388HF,2016,110cc,Đỏ đen,Còn hàng,,"Honda Wave RSX, màu đỏ đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Airblade 29E-653HJ,21.500.000₫,Honda,Airblade,29E-653HJ,2013,125cc,Vàng đen,Còn hàng,,"Honda Airblade, màu vàng đen, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Vision 29K-587JJ,24.800.000₫,Honda,Vision,29K-587JJ,2016,110cc,Xanh đen,Còn hàng,,"Honda Vision, màu xanh đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Wave A 90B-261EC,13.300.000₫,Honda,Wave A,90B-261EC,2016,100cc,Trắng đen,Còn hàng,,"Honda Wave A, màu trắng đen, dung tích 100cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Dream 22H-74EA,15.500.000₫,Honda,Dream,22H-74EA,2009,100cc,Nâu,Còn hàng,,"Honda Dream, màu nâu, dung tích 100cc. Hàng hiếm đẹp xuất sắc, xe có hình thức đẹp lung linh, máy chất, êm, chạy khoẻ, xăng đi 2,2L/100km. Đây là một trong những dòng xe hot nhất của giới trẻ hiện nay. Xe đa dụng, phù hợp với nhiều thế hệ người tiêu dùng bởi tính mạnh mẽ, bền bỉ và tiết kiệm nhiên liệu."
Future 1 29P-451KA,13.000.000₫,Honda,Future,29P-451KA,2015 (đời 1999),110cc,Xanh,Còn hàng,,"Honda Future 1, màu xanh, dung tích 110cc. Xe đẹp, nilon dán cả xe, đi rất ít. Future mới vẫn sử dụng động cơ 4 kỳ, cam đơn SOHC, dung tích 125 phân khối và có phun xăng điện tử giúp tiết kiệm nhiên liệu. Bản FI cho công suất tối đa 9,47 HP @ 7.500 RPM cùng momen xoắn cực đại 10,6 Nm @ 5.500 RPM. Ngoài ra xe còn được trang bị hộc đựng đồ U-Box đủ chứa một nón bảo hiểm nguyên đầu và hệ thống kiểm soát hơi xăng EVAPO thân thiện với môi trường, giúp giảm thiểu tối đa sự phát tán hơi xăng ra không khí."
SH nhập 29D-479AB,50.500.000₫,Honda,SH,29D-479AB,2020 (đời 2008),150cc,Nâu đen,Còn hàng,,"Honda SH nhập, màu nâu đen, dung tích 150cc, xe đẹp xuất sắc, mới đi rất ít, không một lỗi nhỏ. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả."
Lead 29X-740DB,34.500.000₫,Honda,Lead,29X-740DB,2022,125cc,Đỏ đen,Còn hàng,,"Honda Lead, khóa smartkey, màu đỏ đen, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
SH CBS 29K-753CK,78.800.000₫,Honda,SH,29K-753CK,2018,150cc,Đỏ đen,Còn hàng,,"Honda SH CBS, màu đỏ đen, dung tích 150cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Vision 22Y-105JB,20.300.000₫,Honda,Vision,22Y-105JB,2015,110cc,Đen,Còn hàng,,"Honda Vision, màu đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Wave Blade 29K-759CH,13.500.000₫,Honda,Wave Blade,Blade 29K-759CH,2018,110cc,Đen xám,Còn hàng,,"Honda Wave Blade, phanh đĩa, màu đen xám, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Wave A 29Y-611CF,17.800.000₫,Honda,Wave A,29Y-611CF,2022,110cc,Xanh đen,Còn hàng,,"Honda Wave A, màu xanh đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Wave A 29Z-465GE,14.800.000₫,Honda,Wave A,29Z-465GE,2017,100cc,Xanh bạc đen,Còn hàng,,"Honda Wave A, màu xanh bạc đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Vision 35B-699GK,25.300.000₫,Honda,Vision,35B-699GK,2020,110cc,Xanh bạc đen,Còn hàng,,"Honda Vision, màu xanh nâu bạc, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Lead 29G-913FA,33.000.000₫,Honda,Lead,29G-913FA,2020,125cc,Đỏ đen,Còn hàng,,"Honda Lead, khóa smartkey, màu đỏ đen, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Vision 63B-453GC,25.500.000₫,Honda,Vision,63B-453GC,2019,110cc,Đỏ đen,Còn hàng,,"Honda Vision, khóa smartkey, màu đỏ đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Lead 16R-92EE,9.500.000₫,Honda,Lead,16R-92EE,2010,110c,Đỏ đen,Còn hàng,,"Honda Lead, màu đỏ đen, dung tích 110cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Wave RSX FI 36E-378EF,15.300.000₫,Honda,Wave rsx,36E-378EF,2020,110cc,Xám đỏ,Còn hàng,,"Honda Wave RSX FI, vành đúc, phanh đĩa, màu xám đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Future 29B-542CD,16.800.000₫,Honda,Future,29B-542CD,2014,125cc,Xám đen,Còn hàng,,"Honda Future, màu xám đen vàng, dung tích 125cc. Xe đẹp long lanh, không một lỗi nhỏ. Future 125 FI mới vẫn sử dụng động cơ 4 kỳ, cam đơn SOHC, dung tích 125 phân khối và có phun xăng điện tử giúp tiết kiệm nhiên lFUiệu. Bản FI cho công suất tối đa 9,47 HP @ 7.500 RPM cùng momen xoắn cực đại 10,6 Nm @ 5.500 RPM. Ngoài ra xe còn được trang bị hộc đựng đồ U-Box đủ chứa một nón bảo hiểm nguyên đầu và hệ thống kiểm soát hơi xăng EVAPO thân thiện với môi trường, giúp giảm thiểu tối đa sự phát tán hơi xăng ra không khí."
Winner X 19K-378EF,25.300.000₫,Honda,Winner,19K-378EF,2020,150cc,Đỏ đen,Còn hàng,,"Honda Winner X, dung tích 150cc, màu đỏ đen. Xe đẹp xuất sắc, xe nên đẹp như mới, không một lỗi nhỏ. Xe được Honda trang bị động cơ PGM-FI, 4 kỳ, DOHC, xi-lanh đơn, dung tích 149,1cc, làm mát bằng dung dịch kết hợp hộp số 6 cấp, giúp sản sinh công suất tối đa 15,4 mã lực tại 9.000 vòng/phút, mô-men xoắn cực đại 13.5 Nm tại 6.500 vòng/phút."
Future 29E-779AE,25.000.000₫,Honda,Future,29E-779AE,2021,125cc,Xanh đen,Còn hàng,,"Honda Future, màu xanh đen, dung tích 125cc. Xe đẹp long lanh, không một lỗi nhỏ. Future 125 FI mới vẫn sử dụng động cơ 4 kỳ, cam đơn SOHC, dung tích 125 phân khối và có phun xăng điện tử giúp tiết kiệm nhiên lFUiệu. Bản FI cho công suất tối đa 9,47 HP @ 7.500 RPM cùng momen xoắn cực đại 10,6 Nm @ 5.500 RPM. Ngoài ra xe còn được trang bị hộc đựng đồ U-Box đủ chứa một nón bảo hiểm nguyên đầu và hệ thống kiểm soát hơi xăng EVAPO thân thiện với môi trường, giúp giảm thiểu tối đa sự phát tán hơi xăng ra không khí."
SH CBS 29Y-683JE,81.500.000₫,Honda,SH,SH CBS 29Y-683JE,2020,150cc,Đen,Còn hàng,,"Honda SH CBS, màu đen, dung tích 150cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Vision 35N-605DD,30.500.000₫,Honda,Vision,35N-605DD,2023,110cc,Đỏ đen,Còn hàng,,"Honda Vision, khóa smartkey, màu đỏ đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Airblade 17B-310GE,24.000.000₫,Honda,Airbade,17B-310GE,2017,125cc,Đỏ đen,Còn hàng,,"Honda Airblade, màu đỏ đen, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Airblade 18B-462AF,28.000.000₫,Honda,Airbade,18B-462AF,2019,125cc,Đen đỏ,Còn hàng,,"Honda Airblade, màu đỏ đen, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Airblade 23D-430GG,33.000.000₫,Honda,Airblade,23D-430GG,2021,125cc,Đen vàng,Còn hàng,,"Honda Airblade, khóa smartkey, màu đen vàng, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Airblade 29Z-74JC,10.300.000₫,Honda,Airbade,29Z-74JC,2009,110cc,Trắng đen,Còn hàng,,"Honda Airblade, form nhỏ, màu trắng đen, dung tích 110cc. Hàng hiếm đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Wave A 19G-421BD,14.800.000₫,Honda,Wave A,19G-421BD,2020,110cc,Trắng đen bạc,Còn hàng,,"Honda Wave A, màu trắng đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Lead 89B-130EC,34.300.000₫,Honda,Lead,89B-130EC,2021,125cc,Đen,Còn hàng,,"Honda Lead, khóa smartkey, màu đen, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Lead 29P-015DC,42.800.000₫,Honda,Lead,29P-015DC,2022,125cc,Xanh đen,Còn hàng,,"Honda Lead, khóa smartkey, màu xanh đen, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Winner X ABS 99K-325AA,21.500.000₫,Honda,Winner,99K-325AA,2020,150cc,Đen cam,Còn hàng,,"Honda Winner X ABS, dung tích 150cc, màu đen vàng đồng. Xe đẹp xuất sắc, xe nên đẹp như mới, không một lỗi nhỏ. Xe được Honda trang bị động cơ PGM-FI, 4 kỳ, DOHC, xi-lanh đơn, dung tích 149,1cc, làm mát bằng dung dịch kết hợp hộp số 6 cấp, giúp sản sinh công suất tối đa 15,4 mã lực tại 9.000 vòng/phút, mô-men xoắn cực đại 13.5 Nm tại 6.500 vòng/phút."
Vision 29Y-524AD,28.200.000₫,Honda,Vision,29Y-524AD,2018,110cc,Đỏ đen,Còn hàng,,"Honda Vision, khóa smartkey, màu đỏ đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Wave Blade 89L-157JJ,11.500.000₫,Honda,Wave Blade,Blade 89L-157JJ,2015,110cc,Đỏ,Còn hàng,,"Honda Wave Blad, màu đỏ đen xám, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Wave S 36B-871AC,8.000.000₫,Honda,Wave S,,,,,Hết hàng,,"Honda Wave S, màu đen bạc, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Winner X 89E-724HE,23.300.000₫,Honda,Winner,89E-724HE,2020,150cc,Đỏ đen,Còn hàng,,"Honda Winner X, dung tích 150cc, màu đỏ đen. Xe đẹp xuất sắc, xe nên đẹp như mới, không một lỗi nhỏ. Xe được Honda trang bị động cơ PGM-FI, 4 kỳ, DOHC, xi-lanh đơn, dung tích 149,1cc, làm mát bằng dung dịch kết hợp hộp số 6 cấp, giúp sản sinh công suất tối đa 15,4 mã lực tại 9.000 vòng/phút, mô-men xoắn cực đại 13.5 Nm tại 6.500 vòng/phút."
Wave A 29E-880KH,17.800.000₫,Honda,Wave A,29E-880KH,2022,110cc,Đỏ đen,Còn hàng,,"Honda Wave A, màu đỏ đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Airblade 29Y-572GA,44.500.000₫,Honda,Airbade,29Y-572GA,2021,150cc,Xanh đen bạc,Còn hàng,,"Honda Airblade, khóa smartkey, màu xanh bạc đen, dung tích 150cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
PCX 29B-335BG,23.500.000₫,Honda,PCX,29B-335BG,2013,125cc,Đỏ đen,Còn hàng,,"Honda PCX, màu đỏ nâu đen, dung tích 125cc. Sở hữu thiết kế mạnh mẽ, thể thao, hiện đại PCX đã chiếm được tình cảm mếm mộ đặc biệt của phái mạnh. Dòng xe này đặc biệt phù hợp với những khách hàng nam có cá tính mạnh mẽ, phong cách nổi bật. Nó tỏ ra có ưu điểm vượt trội khi chạy trên đường trường. Xe hình thức đẹp, khởi động nhẹ nhàng, vận hành ổn định, tiết kiệm nhiên liệu với hệ thống phun xăng điện tử làm mát bằng chất lỏng, hệ thống ngắt nhiên liệu tạm thời."
Future 1 29K-734AE,14.500.000₫,Honda,Future,29K-734AE,2000,110cc,Xanh,Còn hàng,,"Honda Future 1, màu xanh, dung tích 110cc. Xe đẹp, nilon dán cả xe, đi rất ít. Future mới vẫn sử dụng động cơ 4 kỳ, cam đơn SOHC, dung tích 125 phân khối và có phun xăng điện tử giúp tiết kiệm nhiên liệu. Bản FI cho công suất tối đa 9,47 HP @ 7.500 RPM cùng momen xoắn cực đại 10,6 Nm @ 5.500 RPM. Ngoài ra xe còn được trang bị hộc đựng đồ U-Box đủ chứa một nón bảo hiểm nguyên đầu và hệ thống kiểm soát hơi xăng EVAPO thân thiện với môi trường, giúp giảm thiểu tối đa sự phát tán hơi xăng ra không khí."
Airblade 29Y-099KK,15.500.000₫,Honda,Airbade,29Y-099KK,2012,110cc,Đỏ trắng đen,Còn hàng,,"Honda Airblade, màu trắng đỏ đen, dung tích 110cc, xe đẹp đi rất ít. Xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Wave Blade 29H-370KG,18.800.000₫,Honda,Wave Blade,29H-370KG,2022,110cc,Đen xám,Còn hàng,,"Honda Wave Blade, vành đúc, phanh đĩa, màu đen xám, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Wave RS 17B-104BH,9.600.000₫,Honda,Wave RS,17B-104BH,2014,110cc,Đỏ đen,Còn hàng,,"Honda Wave RS, màu đen đỏ, dung tích 100cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Lead 29V-450FE,33.000.000₫,Honda,Lead,29V-450FE,2019,125cc,Đen,Còn hàng,,"Honda Lead, khóa chìa, màu đen, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
